Complexity,Loss,Equation
5,5.489586501548018,"f = #1; g = #1; k = #1; h = #1; l = #1"
6,5.4740209666963215,"f = #1; g = #1; k = #1; h = exp(#1); l = #1"
7,3.0930424326552965,"f = #1; g = #1; k = 1490.009851040392; h = #1; l = #1"
8,1.9687720331286283,"f = #1; g = #1; k = 101.02364083373088; h = cos(#1); l = #1"
9,1.815915287002687,"f = #1; g = tanh(#1); k = 113.82095123326935; h = exp(#1); l = #1"
10,1.3128561217944632,"f = cos(#1); g = #1; k = exp(#1); h = cos(#1); l = 8.547647854890922"
11,1.2399178094257914,"f = square(#1); g = exp(#1); k = 6.469039326364198; h = cos(#1); l = exp(#1)"
12,1.09657927582387,"f = #1; g = exp(#1); k = #1 + 3.87603099134331; h = cos(#1); l = exp(#1)"
13,1.051674616834015,"f = #1; g = exp(#1); k = #1 + 2.5552473589388183; h = 1.4634294343454353; l = exp(#1)"
14,1.0098711993448635,"f = exp(#1); g = exp(#1); k = tanh(#1) + 1.23427103354902; h = cos(#1); l = exp(#1)"
15,0.9635198730727789,"f = exp(square(#1)); g = exp(#1); k = tanh(#1) + 1.5679211084756175; h = cos(#1); l = exp(#1)"
16,0.8883842990433594,"f = exp(#1); g = tanh(#1 + #1); k = #1 + 1.9950894470403147; h = 1.53490857938162; l = exp(#1)"
17,0.8824505135094501,"f = exp(#1); g = tanh(#1 + #1); k = #1 + 2.033276730463979; h = 1.3080789952267007; l = square(exp(#1))"
18,0.7948866160999858,"f = 5.118526087168974; g = tanh(#1 + #1); k = tanh(#1) + (#1 / tanh(#1)); h = cos(#1); l = exp(#1)"
19,0.7909128850994902,"f = 5.121365331453026; g = tanh(#1 + #1); k = tanh(#1) + (#1 / tanh(#1)); h = square(cos(#1)); l = exp(#1)"
20,0.7933835159502348,"f = 5.140792540629849; g = tanh(#1 + #1); k = tanh(#1) + (#1 / tanh(#1)); h = cos(#1 + #1); l = exp(#1)"
21,0.7756764239917233,"f = 5.362270979047146; g = tanh(#1 / 0.5619808592224251); k = (#1 / tanh(#1)) + tanh(#1); h = square(cos(#1)); l = exp(#1)"
22,0.724398801807502,"f = 7.100250299443217; g = tanh(#1 + #1); k = (#1 / tanh(#1)) + tanh(#1); h = exp(#1); l = exp(-0.030024724056568582 / #1)"
23,0.7018869362070017,"f = -6.004376496601047; g = tanh(#1 + #1); k = tanh(#1) + (#1 / tanh(#1)); h = cos(square(#1 + -1.9653873067693022)); l = exp(#1)"
24,0.6953171548369349,"f = -5.451506373246946; g = tanh(#1 + #1); k = (#1 / tanh(#1)) + tanh(#1); h = cos(square(#1 + -1.9831551587252636)); l = square(exp(#1))"
25,0.6679058087513279,"f = -5.643540628152809; g = tanh(#1 + #1); k = (#1 / tanh(#1)) + tanh(#1); h = cos(square(1.9862704403069777 - #1)); l = exp(#1) + #1"
26,0.6544489217997501,"f = -1.9361829665597794; g = tanh(#1 + #1); k = (#1 / tanh(#1)) + #1; h = cos(square(#1 + 10.075244014537518)) + -2.266255144580466; l = exp(#1)"
27,0.6060785170078815,"f = -1.8241302207243582; g = tanh(#1 + #1); k = tanh(#1) + (#1 / tanh(#1)); h = cos(square(#1 + -6.977472407767171)) + -2.2412969108477174; l = exp(#1)"
28,0.6198166205656307,"f = 21.841501204247177; g = tanh(#1 + #1); k = tanh(#1) + (#1 / tanh(#1)); h = (#1 + -0.8086515147381917) - tanh(-0.22416489353831756 / #1); l = exp(#1)"
29,0.5840125065631466,"f = -1.6162197958706417; g = tanh(#1 + #1); k = (#1 / tanh(#1)) + tanh(#1); h = cos(square(#1 + 6.7438414868240395)) + -2.3431089708612802; l = #1 + exp(#1)"
30,0.5998281980982659,"f = 20.339572462157566; g = tanh(#1 + #1); k = (#1 / tanh(#1)) + tanh(#1); h = (#1 - tanh(-0.23353248102774932 / #1)) + -0.8190878369749481; l = #1 + exp(#1)"
31,0.5830500988553581,"f = -2.261682766313496; g = tanh(#1 + #1); k = tanh(#1 + -0.2212124142285415) + (#1 / tanh(#1)); h = cos(square(#1 + 10.077467667032574)) + -2.2978347169083158; l = exp(#1)"
